AU01_r;AU02_r;AU04_r;AU05_r;AU06_r;AU07_r;AU09_r;AU10_r;AU12_r;AU14_r;AU15_r;AU17_r;AU20_r;AU23_r;AU25_r;AU26_r;AU45_r;AU01_c;AU02_c;AU04_c;AU05_c;AU06_c;AU07_c;AU09_c;AU10_c;AU12_c;AU14_c;AU15_c;AU17_c;AU20_c;AU23_c;AU25_c;AU26_c;AU28_c;AU45_c
0.0;0.0;0.73;0.08;0.0;0.04;0.0;0.0;0.0;0.0;0.36;0.33;0.09;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.56;0.03;0.0;0.07;0.0;0.0;0.0;0.0;0.18;0.47;0.03;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.52;0.0;0.0;0.14;0.0;0.0;0.0;0.0;0.08;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.52;0.0;0.0;0.16;0.0;0.0;0.0;0.0;0.13;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.55;0.0;0.0;0.2;0.01;0.0;0.0;0.0;0.12;0.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.51;0.0;0.0;0.11;0.01;0.0;0.0;0.0;0.1;0.45;0.0;0.0;0.0;0.0;0.01;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.51;0.0;0.0;0.09;0.01;0.0;0.0;0.0;0.08;0.52;0.0;0.0;0.0;0.0;0.01;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.52;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.06;0.51;0.0;0.0;0.0;0.0;0.01;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.54;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.11;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.59;0.0;0.0;0.04;0.0;0.0;0.0;0.03;0.09;0.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.63;0.0;0.0;0.0;0.0;0.0;0.0;0.03;0.12;0.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.68;0.0;0.0;0.06;0.0;0.0;0.0;0.07;0.12;0.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.64;0.0;0.0;0.12;0.0;0.0;0.0;0.04;0.14;0.57;0.0;0.0;0.0;0.03;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.59;0.0;0.0;0.17;0.0;0.0;0.0;0.04;0.11;0.58;0.0;0.0;0.0;0.03;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.49;0.06;0.0;0.15;0.0;0.0;0.0;0.0;0.06;0.57;0.0;0.0;0.0;0.06;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.5;0.16;0.0;0.12;0.0;0.0;0.0;0.0;0.02;0.57;0.0;0.0;0.0;0.04;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.48;0.18;0.0;0.16;0.0;0.0;0.0;0.0;0.0;0.56;0.0;0.0;0.0;0.09;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.51;0.17;0.0;0.13;0.0;0.0;0.0;0.0;0.0;0.54;0.0;0.0;0.0;0.06;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.56;0.09;0.0;0.15;0.0;0.0;0.0;0.0;0.03;0.57;0.0;0.0;0.0;0.14;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.57;0.07;0.0;0.06;0.0;0.0;0.0;0.0;0.05;0.58;0.0;0.0;0.0;0.1;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.59;0.03;0.0;0.19;0.0;0.0;0.0;0.0;0.07;0.61;0.0;0.0;0.0;0.09;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.55;0.0;0.0;0.23;0.0;0.0;0.0;0.0;0.04;0.6;0.0;0.0;0.0;0.01;0.04;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.58;0.0;0.0;0.27;0.0;0.0;0.0;0.0;0.02;0.6;0.0;0.0;0.0;0.01;0.04;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.58;0.0;0.0;0.18;0.0;0.0;0.0;0.03;0.0;0.66;0.0;0.0;0.0;0.04;0.03;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.6;0.0;0.0;0.14;0.0;0.0;0.0;0.1;0.06;0.75;0.0;0.0;0.0;0.03;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.62;0.0;0.0;0.1;0.0;0.0;0.0;0.18;0.06;0.84;0.0;0.0;0.0;0.02;0.07;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.64;0.0;0.0;0.15;0.05;0.0;0.0;0.29;0.18;0.89;0.0;0.0;0.0;0.0;0.07;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.6;0.0;0.0;0.1;0.11;0.0;0.0;0.35;0.16;0.87;0.0;0.0;0.17;0.14;0.07;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.43;0.0;0.0;0.2;0.17;0.04;0.0;0.41;0.23;0.7;0.07;0.0;0.59;0.44;0.06;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.33;0.0;0.0;0.37;0.18;0.1;0.0;0.52;0.15;0.56;0.14;0.0;1.04;0.77;0.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0
0.0;0.0;0.27;0.0;0.0;0.52;0.26;0.19;0.0;0.67;0.1;0.39;0.29;0.0;1.44;1.01;0.27;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.31;0.0;0.0;0.59;0.42;0.2;0.0;0.76;0.03;0.33;0.45;0.0;1.57;1.23;0.31;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.25;0.0;0.0;0.49;0.53;0.16;0.0;0.51;0.0;0.15;0.5;0.0;1.67;1.31;0.33;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0
